step,loss,lr,exact_acc,digit_acc,elapsed
18900,0.002700,3.00e-04,,,5009.1
19000,0.002608,3.00e-04,,,5026.4
19000,0.002608,3.00e-04,1.0000,1.0000,5029.8
19100,0.002603,3.00e-04,,,5041.7
19200,0.003200,3.00e-04,,,5054.5
19300,0.002986,3.00e-04,,,5070.3
19400,0.002920,3.00e-04,,,5086.8
19500,0.002967,3.00e-04,,,5101.0
19500,0.002967,3.00e-04,1.0000,1.0000,5108.7
19600,0.003226,3.00e-04,,,5118.4
19700,0.002977,3.00e-04,,,5136.2
19800,0.002941,3.00e-04,,,5159.0
19900,0.002689,3.00e-04,,,5190.2
20000,0.002981,3.00e-04,,,5203.9
20000,0.002981,3.00e-04,1.0000,1.0000,5221.0
